organization,abbreviation,type,domain,scope,hq_country,founded,url,pep_url,pep_label
Plan International,Plan,Professional/NGO association,Humanitarian,Global,United Kingdom,1937,https://plan-international.org,https://plan-international.org/organisation/structure/leadership-team/,Global leadership
Plan International,Plan,Professional/NGO association,Humanitarian,Global,United Kingdom,1937,https://plan-international.org,https://plan-international.org/organisation/structure/whos-who/,Who's who
Save the Children International,SCI,Professional/NGO association,Humanitarian,Global,United Kingdom,1919,https://www.savethechildren.net,https://www.savethechildren.net/our-leadership,Our Leadership
Save the Children International,SCI,Professional/NGO association,Humanitarian,Global,United Kingdom,1919,https://www.savethechildren.net,https://legacy.savethechildren.net/about-us/our-leadership/global-board,Our Global Board
World Vision International,WVI,Professional/NGO association,Humanitarian,Global,United States,1950,https://www.wvi.org,https://www.wvi.org/about-us/our-leadership,Our Leadership
World Vision International,WVI,Professional/NGO association,Humanitarian,Global,United States,1950,https://www.wvi.org,https://www.wvi.org/about-us/our-structure,Our Structure
International Association of Prosecutors,IAP,Professional/NGO association,Justice & law,Global,Netherlands,1995,https://www.iap-association.org,https://www.iap-association.org/About/IAP-Executive-Committee/Members-of-the-Executive-Committee,Executive Committee members
International Association of Prosecutors,IAP,Professional/NGO association,Justice & law,Global,Netherlands,1995,https://www.iap-association.org,https://www.iap-association.org/About/IAP-Executive-Committee,Executive Committee
International Bar Association,IBA,Professional/NGO association,Justice & law,Global,United Kingdom,1947,https://www.ibanet.org,https://www.ibanet.org/executive-officers,Executive Officers
International Bar Association,IBA,Professional/NGO association,Justice & law,Global,United Kingdom,1947,https://www.ibanet.org,https://www.ibanet.org/management-board,Management Board
International Bar Association,IBA,Professional/NGO association,Justice & law,Global,United Kingdom,1947,https://www.ibanet.org,https://www.ibanet.org/governance-and-management,Governance and management
International Organisation of Employers,IOE,Professional/NGO association,Labour,Global,Switzerland,1920,https://www.ioe-emp.org,https://www.ioe-emp.org/about-us/our-governance,Our Governance
International Organisation of Employers,IOE,Professional/NGO association,Labour,Global,Switzerland,1920,https://www.ioe-emp.org,https://www.ioe-emp.org/largest-network-of-the-private-sector-in-the-world/our-team,Our Team
International Social Security Association,ISSA,Professional/NGO association,Labour,Global,Switzerland,1927,https://www.issa.int,https://www.issa.int/about/governance-and-management,Officers and Statutory Bodies
International Trade Union Confederation,ITUC,Professional/NGO association,Labour,Global,Belgium,2006,https://www.ituc-csi.org,https://www.ituc-csi.org/conseil-general,General Council
International Trade Union Confederation,ITUC,Professional/NGO association,Labour,Global,Belgium,2006,https://www.ituc-csi.org,https://www.ituc-csi.org/ituc-general-secretary,General Secretary
Trade Union Advisory Committee to the OECD,TUAC,Professional/NGO association,Labour,Global,France,1948,https://tuac.org,https://tuac.org/about/presidency-working-groups-chairs/,Presidency and chairs
Trade Union Advisory Committee to the OECD,TUAC,Professional/NGO association,Labour,Global,France,1948,https://tuac.org,https://tuac.org/about/policy-staff/,Secretariat staff
World Federation of Trade Unions,WFTU,Professional/NGO association,Labour,Global,Greece,1945,https://www.wftucentral.org,https://www.wftucentral.org/presidential-council/,Presidential Council
Committee on Data of the International Science Council,CODATA,Professional/NGO association,Science & culture,Global,France,1966,https://codata.org,https://codata.org/about-codata/executive-committee/,Officers and Executive Committee
International Astronomical Union,IAU,Professional/NGO association,Science & culture,Global,France,1919,https://www.iau.org,https://www.iau.org/IAU/Iau/Communities/Executive-Committee-Officers.aspx,Executive Committee Officers
International Astronomical Union,IAU,Professional/NGO association,Science & culture,Global,France,1919,https://www.iau.org,https://www.iau.org/Iau/Iau/About/Governance-Overview/Executive-Committee.aspx,Executive Committee
International Geographical Union,IGU,Professional/NGO association,Science & culture,Global,?,1922,https://igu-online.org,https://igu-online.org/organization/executive-committee-2024-2026/,Executive Committee 2024-2026
International Geographical Union,IGU,Professional/NGO association,Science & culture,Global,?,1922,https://igu-online.org,https://igu-online.org/governance/,Governance
International Mathematical Union,IMU,Professional/NGO association,Science & culture,Global,Germany,1920,https://www.mathunion.org,https://www.mathunion.org/organization/imu-executive-committee,IMU Executive Committee
International Mathematical Union,IMU,Professional/NGO association,Science & culture,Global,Germany,1920,https://www.mathunion.org,https://www.mathunion.org/organization/imu-leadership-2023-2026,IMU Leadership 2023-2026
International Science Council,ISC,Professional/NGO association,Science & culture,Global,France,2018,https://council.science,https://council.science/about-us/governance/governing-board/,Governing Board
International Science Council,ISC,Professional/NGO association,Science & culture,Global,France,2018,https://council.science,https://council.science/about-us/staff/,Staff
International Statistical Institute,ISI,Professional/NGO association,Science & culture,Global,Netherlands,1885,https://www.isi-web.org,https://isi-web.org/board-council-and-office,"Board, Council and Office"
International Union of Biological Sciences,IUBS,Professional/NGO association,Science & culture,Global,France,1919,https://www.iubs.org,https://iubs.org/about-us/board-present-2/,Current Executive Committee
International Union of Biological Sciences,IUBS,Professional/NGO association,Science & culture,Global,France,1919,https://www.iubs.org,https://iubs.org/about-us/iubss-governance/,Governance
International Union of Geodesy and Geophysics,IUGG,Professional/NGO association,Science & culture,Global,Germany,1919,https://iugg.org,https://iugg.org/about/iugg-administration/,Administration (Bureau)
International Union of Geological Sciences,IUGS,Professional/NGO association,Science & culture,Global,China,1961,https://www.iugs.org,https://www.iugs.org/executive,Executive Committee
International Union of Geological Sciences,IUGS,Professional/NGO association,Science & culture,Global,China,1961,https://www.iugs.org,https://www.iugs.org/organization/governing-bodies,Governing Bodies
International Union of Pure and Applied Chemistry,IUPAC,Professional/NGO association,Science & culture,Global,United States,1919,https://iupac.org,https://iupac.org/who-we-are/executive-board/,Executive Board
International Union of Pure and Applied Chemistry,IUPAC,Professional/NGO association,Science & culture,Global,United States,1919,https://iupac.org,https://iupac.org/who-we-are/our-leadership/,Leadership
International Union of Pure and Applied Chemistry,IUPAC,Professional/NGO association,Science & culture,Global,United States,1919,https://iupac.org,https://iupac.org/who-we-are/science-board/,Science Board
International Union of Pure and Applied Physics,IUPAP,Professional/NGO association,Science & culture,Global,Singapore,1922,https://iupap.org,https://iupap.org/who-we-are/internal-organization/officers-council/executive-council-members-2025-2027/,Executive Council Members
International Union of Pure and Applied Physics,IUPAP,Professional/NGO association,Science & culture,Global,Singapore,1922,https://iupap.org,https://iupap.org/who-we-are/internal-organization/officers-council/,Officers and Council
PEN International,PEN,Professional/NGO association,Science & culture,Global,United Kingdom,1921,https://www.pen-international.org,https://www.pen-international.org/who-we-are/,Who We Are
African Network Information Centre,AFRINIC,Professional/NGO association,Standards & tech,Regional,Mauritius,2004,https://afrinic.net,https://afrinic.net/board,Board of Directors
African Network Information Centre,AFRINIC,Professional/NGO association,Standards & tech,Regional,Mauritius,2004,https://afrinic.net,https://afrinic.net/team,Our Team
African Network Information Centre,AFRINIC,Professional/NGO association,Standards & tech,Regional,Mauritius,2004,https://afrinic.net,https://afrinic.net/governance,Governance
American Registry for Internet Numbers,ARIN,Professional/NGO association,Standards & tech,Regional,United States,1997,https://www.arin.net,https://www.arin.net/about/welcome/board/,Board of Trustees
American Registry for Internet Numbers,ARIN,Professional/NGO association,Standards & tech,Regional,United States,1997,https://www.arin.net,https://www.arin.net/about/welcome/staff/,Organization and Staff
American Registry for Internet Numbers,ARIN,Professional/NGO association,Standards & tech,Regional,United States,1997,https://www.arin.net,https://www.arin.net/about/welcome/ac/,Advisory Council
Asia-Pacific Network Information Centre,APNIC,Professional/NGO association,Standards & tech,Regional,Australia,1993,https://www.apnic.net,https://www.apnic.net/about-apnic/organization/structure/apnic-executive-council/ec-members/,Executive Council Members
Asia-Pacific Network Information Centre,APNIC,Professional/NGO association,Standards & tech,Regional,Australia,1993,https://www.apnic.net,https://www.apnic.net/about-apnic/team/,Meet the Team
Institute of Electrical and Electronics Engineers,IEEE,Professional/NGO association,Standards & tech,Global,United States,1963,https://www.ieee.org,https://www.ieee.org/about/corporate/board,Board and Executive Staff
Institute of Electrical and Electronics Engineers,IEEE,Professional/NGO association,Standards & tech,Global,United States,1963,https://www.ieee.org,https://www.ieee.org/about/corporate/leadership.html,IEEE Leadership
Internet Corporation for Assigned Names and Numbers,ICANN,Professional/NGO association,Standards & tech,Global,United States,1998,https://www.icann.org,https://www.icann.org/en/board/directors,Board Members
Internet Corporation for Assigned Names and Numbers,ICANN,Professional/NGO association,Standards & tech,Global,United States,1998,https://www.icann.org,https://www.icann.org/en/board/board-of-directors,Board of Directors
Internet Society,ISOC,Professional/NGO association,Standards & tech,Global,United States,1992,https://www.internetsociety.org,https://www.internetsociety.org/board-of-trustees/2024-2025/,Board of Trustees
Internet Society,ISOC,Professional/NGO association,Standards & tech,Global,United States,1992,https://www.internetsociety.org,https://www.internetsociety.org/board-of-trustees/,About Board of Trustees
Latin America and Caribbean Network Information Centre,LACNIC,Professional/NGO association,Standards & tech,Regional,Uruguay,2002,https://www.lacnic.net,https://www.lacnic.net/73/2/lacnic/current-board-of-directors,Current Board of Directors
Latin America and Caribbean Network Information Centre,LACNIC,Professional/NGO association,Standards & tech,Regional,Uruguay,2002,https://www.lacnic.net,https://www.lacnic.net/1335/2/lacnic/board-of-directors,Board of Directors
Réseaux IP Européens Network Coordination Centre,RIPE NCC,Professional/NGO association,Standards & tech,Regional,Netherlands,1992,https://www.ripe.net,https://www.ripe.net/about-us/executive-board/biographies/,Executive Board biographies
Réseaux IP Européens Network Coordination Centre,RIPE NCC,Professional/NGO association,Standards & tech,Regional,Netherlands,1992,https://www.ripe.net,https://www.ripe.net/about-us/staff/structure/,RIPE NCC Leadership
Réseaux IP Européens Network Coordination Centre,RIPE NCC,Professional/NGO association,Standards & tech,Regional,Netherlands,1992,https://www.ripe.net,https://www.ripe.net/about-us/executive-board/,Executive Board
International Chamber of Commerce,ICC,Professional/NGO association,Trade & economy,Global,France,1919,https://iccwbo.org,https://iccwbo.org/governance/icc-executive-board/,ICC Executive Board
International Chamber of Commerce,ICC,Professional/NGO association,Trade & economy,Global,France,1919,https://iccwbo.org,https://iccwbo.org/governance/chairmanship-and-secretary-general/,Chairmanship and Secretary General
International Chamber of Commerce,ICC,Professional/NGO association,Trade & economy,Global,France,1919,https://iccwbo.org,https://iccwbo.org/governance/,Governance
International Tin Association,ITA,Professional/NGO association,Trade & economy,Global,United Kingdom,1932,https://www.internationaltin.org,https://www.internationaltin.org/management-team/,Management team
"Islamic Chamber of Commerce, Industry and Agriculture",ICCIA,Professional/NGO association,Trade & economy,Regional,Pakistan,1979,https://iccia.com,,
Arab Air Carriers' Organization,AACO,Professional/NGO association,Transport,Regional,Lebanon,1965,https://www.aaco.org,https://www.aaco.org/about-us/governance,Governance
Bureau International des Containers et du Transport Intermodal,BIC,Professional/NGO association,Transport,Global,France,1933,https://www.bic-code.org,https://www.bic-code.org/board/,Board of Directors
Asian Football Confederation,AFC,Sport federation,Sport,Regional,Malaysia,1954,https://www.the-afc.com,https://www.the-afc.com/en/about_afc/committees/executive_committee.html,Executive Committee
Association of International Olympic Winter Sports Federations,AIOWF,Sport federation,Sport,Global,Switzerland,1976,?,,
Association of National Olympic Committees,ANOC,Sport federation,Sport,Global,Switzerland,1979,https://www.anocolympic.org,https://www.anocolympic.org/executive-council/,Executive Council
Association of National Olympic Committees,ANOC,Sport federation,Sport,Global,Switzerland,1979,https://www.anocolympic.org,https://www.anocolympic.org/structure/,Structure
Association of National Olympic Committees of Africa,ANOCA,Sport federation,Sport,Regional,Nigeria,1981,https://africaolympic.com,https://africaolympic.com/en/about-anoca/executive-committee/,Executive Committee
Association of Summer Olympic International Federations,ASOIF,Sport federation,Sport,Global,Switzerland,1983,https://www.asoif.com,https://www.asoif.com/about/council,Council
Badminton World Federation,BWF,Sport federation,Sport,Global,Malaysia,1934,https://bwfbadminton.com,https://corporate.bwfbadminton.com/about/council/,BWF Council members
Badminton World Federation,BWF,Sport federation,Sport,Global,Malaysia,1934,https://bwfbadminton.com,https://corporate.bwfbadminton.com/about/governance/,Governance overview
Badminton World Federation,BWF,Sport federation,Sport,Global,Malaysia,1934,https://bwfbadminton.com,https://corporate.bwfbadminton.com/about/council-committee/,Council committees
Commonwealth Sport,CGF,Sport federation,Sport,Global,United Kingdom,1932,https://www.commonwealthsport.com,https://www.commonwealthsport.com/commonwealth-sport/board,Executive Board
Commonwealth Sport,CGF,Sport federation,Sport,Global,United Kingdom,1932,https://www.commonwealthsport.com,https://www.commonwealthsport.com/commonwealth-sport/governance,Governance
Commonwealth Sport,CGF,Sport federation,Sport,Global,United Kingdom,1932,https://www.commonwealthsport.com,https://www.commonwealthsport.com/commonwealth-sport/team/ceo-office,CEO and President
Confederación Sudamericana de Fútbol,CONMEBOL,Sport federation,Sport,Regional,Paraguay,1916,https://www.conmebol.com,https://www.conmebol.com/el-consejo/,El Consejo (Council)
Confederación Sudamericana de Fútbol,CONMEBOL,Sport federation,Sport,Regional,Paraguay,1916,https://www.conmebol.com,https://www.conmebol.com/comisiones/,Comisiones (Commissions)
Confédération Africaine de Football,CAF,Sport federation,Sport,Regional,Egypt,1957,https://www.cafonline.com,https://www.cafonline.com/inside-caf/about-us/organization/executive-committee/,Executive Committee
Confédération Africaine de Football,CAF,Sport federation,Sport,Regional,Egypt,1957,https://www.cafonline.com,https://www.cafonline.com/inside-caf/about-us/caf-president/,CAF President
Confédération Africaine de Football,CAF,Sport federation,Sport,Regional,Egypt,1957,https://www.cafonline.com,https://www.cafonline.com/en/inside-caf/about-us/legal/legal-bodies/,Legal bodies
"Confederation of North, Central America and Caribbean Association Football",CONCACAF,Sport federation,Sport,Regional,United States,1961,https://www.concacaf.com,https://www.concacaf.com/inside-concacaf/about-concacaf/concacaf-council/,Concacaf Council
"Confederation of North, Central America and Caribbean Association Football",CONCACAF,Sport federation,Sport,Regional,United States,1961,https://www.concacaf.com,https://www.concacaf.com/inside-concacaf/about-concacaf/concacaf-general-secretary/,General Secretary
"Confederation of North, Central America and Caribbean Association Football",CONCACAF,Sport federation,Sport,Regional,United States,1961,https://www.concacaf.com,https://www.concacaf.com/inside-concacaf/about-concacaf/standing-committees,Standing committees
Fédération Equestre Internationale,FEI,Sport federation,Sport,Global,Switzerland,1921,https://www.fei.org,https://inside.fei.org/fei/about-fei/structure/fei-board,FEI Board
Fédération Equestre Internationale,FEI,Sport federation,Sport,Global,Switzerland,1921,https://www.fei.org,https://inside.fei.org/fei/about-fei/structure/executive-board/executive-board,Executive Board
Fédération Equestre Internationale,FEI,Sport federation,Sport,Global,Switzerland,1921,https://www.fei.org,https://inside.fei.org/fei/about-fei/structure/fei-headquarters/governance,Governance
Fédération Internationale de Football Association,FIFA,Sport federation,Sport,Global,Switzerland,1904,https://www.fifa.com,https://inside.fifa.com/organisation/fifa-council,FIFA Council
Fédération Internationale de Football Association,FIFA,Sport federation,Sport,Global,Switzerland,1904,https://www.fifa.com,https://inside.fifa.com/organisation/secretary-general,Secretary General
Fédération Internationale de Football Association,FIFA,Sport federation,Sport,Global,Switzerland,1904,https://www.fifa.com,https://inside.fifa.com/organisation/committees,Committees
Fédération Internationale de Gymnastique,FIG,Sport federation,Sport,Global,Switzerland,1881,https://www.gymnastics.sport,https://www.gymnastics.sport/site/pages/about-ec.php,Executive Committee
Fédération Internationale de Gymnastique,FIG,Sport federation,Sport,Global,Switzerland,1881,https://www.gymnastics.sport,https://www.gymnastics.sport/site/pages/about-council.php,Council
Fédération Internationale de Gymnastique,FIG,Sport federation,Sport,Global,Switzerland,1881,https://www.gymnastics.sport,https://www.gymnastics.sport/site/governance.php,Governance
Fédération Internationale de l'Automobile,FIA,Sport federation,Sport,Global,France,1904,https://www.fia.com,https://www.fia.com/officers,Officers
Fédération Internationale de l'Automobile,FIA,Sport federation,Sport,Global,France,1904,https://www.fia.com,https://www.fia.com/world-motor-sport-council,World Motor Sport Council
Fédération Internationale de l'Automobile,FIA,Sport federation,Sport,Global,France,1904,https://www.fia.com,https://www.fia.com/presidency,Presidency
Fédération Internationale de Motocyclisme,FIM,Sport federation,Sport,Global,Switzerland,1904,https://www.fim-moto.com,https://www.fim-moto.com/en/fim/board-of-directors,Board of Directors
Fédération Internationale de Volleyball,FIVB,Sport federation,Sport,Global,Switzerland,1947,https://www.fivb.com,https://www.fivb.com/inside-fivb/fivb/structure/board-of-administration/,Board of Administration
Fédération Internationale de Volleyball,FIVB,Sport federation,Sport,Global,Switzerland,1947,https://www.fivb.com,https://www.fivb.com/inside-fivb/fivb/structure/executive-committee/,Executive Committee
Fédération Internationale de Volleyball,FIVB,Sport federation,Sport,Global,Switzerland,1947,https://www.fivb.com,https://www.fivb.com/inside-fivb/fivb/structure/,Structure
Global Association of International Sports Federations,GAISF,Sport federation,Sport,Global,Switzerland,1967,?,,
International Basketball Federation,FIBA,Sport federation,Sport,Global,Switzerland,1932,https://www.fiba.basketball,https://about.fiba.basketball/en/organization/structure/central-board,Central Board
International Basketball Federation,FIBA,Sport federation,Sport,Global,Switzerland,1932,https://www.fiba.basketball,https://about.fiba.basketball/en/organization/structure/executive-committee,Executive Committee
International Basketball Federation,FIBA,Sport federation,Sport,Global,Switzerland,1932,https://www.fiba.basketball,https://about.fiba.basketball/en/organization/structure/our-governance,Governance
International Boxing Association,IBA,Sport federation,Sport,Global,Switzerland,1946,https://www.iba.sport,https://www.iba.sport/about-iba/organizational-structure/iba-board-of-directors/,Board of Directors
International Boxing Association,IBA,Sport federation,Sport,Global,Switzerland,1946,https://www.iba.sport,https://www.iba.sport/about-iba/organizational-structure/staff/,Staff
International Boxing Association,IBA,Sport federation,Sport,Global,Switzerland,1946,https://www.iba.sport,https://www.iba.sport/about-iba/governance-and-integrity/,Governance and Integrity
International Canoe Federation,ICF,Sport federation,Sport,Global,Switzerland,1946,https://www.canoeicf.com,https://www.canoeicf.com/icf-structure,Governance structure
International Canoe Federation,ICF,Sport federation,Sport,Global,Switzerland,1946,https://www.canoeicf.com,https://www.canoeicf.com/committee,Committee
International Cricket Council,ICC,Sport federation,Sport,Global,United Arab Emirates,1909,https://www.icc-cricket.com,https://www.icc-cricket.com/about/the-icc/structure/board,Board of Directors
International Cricket Council,ICC,Sport federation,Sport,Global,United Arab Emirates,1909,https://www.icc-cricket.com,https://www.icc-cricket.com/about/the-icc/structure/committees,Governance Committees
International Cricket Council,ICC,Sport federation,Sport,Global,United Arab Emirates,1909,https://www.icc-cricket.com,https://www.icc-cricket.com/about/the-icc/structure/chairman,ICC Chair
International Golf Federation,IGF,Sport federation,Sport,Global,Switzerland,1958,https://www.igfgolf.org,https://www.igfgolf.org/administrative-committee,Administrative Committee
International Golf Federation,IGF,Sport federation,Sport,Global,Switzerland,1958,https://www.igfgolf.org,https://www.igfgolf.org/about/governance,Governance
International Handball Federation,IHF,Sport federation,Sport,Global,Switzerland,1946,https://www.ihf.info,https://www.ihf.info/about/committee,Executive Committee
International Handball Federation,IHF,Sport federation,Sport,Global,Switzerland,1946,https://www.ihf.info,https://www.ihf.info/about/council/all,Council Members
International Hockey Federation,FIH,Sport federation,Sport,Global,Switzerland,1924,https://www.fih.hockey,https://www.fih.hockey/about-fih/executive-board,Executive Board
International Hockey Federation,FIH,Sport federation,Sport,Global,Switzerland,1924,https://www.fih.hockey,https://www.fih.hockey/about-fih/team-fih,Team FIH
International Hockey Federation,FIH,Sport federation,Sport,Global,Switzerland,1924,https://www.fih.hockey,https://www.fih.hockey/about-fih/committee-panel,Committees and Panels
International Ice Hockey Federation,IIHF,Sport federation,Sport,Global,Switzerland,1908,https://www.iihf.com,https://www.iihf.com/en/statichub/4628/council,IIHF Council
International Judo Federation,IJF,Sport federation,Sport,Global,Hungary,1951,https://www.ijf.org,https://www.ijf.org/ijf/organisation,Organisation
International Judo Federation,IJF,Sport federation,Sport,Global,Hungary,1951,https://www.ijf.org,https://www.ijf.org/ijf/commissions,Commissions
International Olympic Committee,IOC,Sport federation,Sport,Global,Switzerland,1894,https://www.olympics.com/ioc,https://www.olympics.com/ioc/executive-board,Executive Board
International Olympic Committee,IOC,Sport federation,Sport,Global,Switzerland,1894,https://www.olympics.com/ioc,https://www.olympics.com/ioc/members,IOC Members
International Olympic Committee,IOC,Sport federation,Sport,Global,Switzerland,1894,https://www.olympics.com/ioc,https://www.olympics.com/ioc/directors,IOC Directors
International Paralympic Committee,IPC,Sport federation,Sport,Global,Germany,1989,https://www.paralympic.org,https://www.paralympic.org/ipc-governing-board,Governing Board
International Paralympic Committee,IPC,Sport federation,Sport,Global,Germany,1989,https://www.paralympic.org,https://www.paralympic.org/management-team,Management Team
International Paralympic Committee,IPC,Sport federation,Sport,Global,Germany,1989,https://www.paralympic.org,https://www.paralympic.org/ipc-bodies,IPC Bodies
International Shooting Sport Federation,ISSF,Sport federation,Sport,Global,Germany,1907,https://www.issf-sports.org,https://issf-sports.org/theissf/organisation/administrative_council.ashx,Administrative Council
International Skating Union,ISU,Sport federation,Sport,Global,Switzerland,1892,https://www.isu.org,https://www.isu.org/meet-the-team/,Meet The Team
International Skating Union,ISU,Sport federation,Sport,Global,Switzerland,1892,https://www.isu.org,https://www.isu.org/isu-council/,ISU Council
International Ski and Snowboard Federation,FIS,Sport federation,Sport,Global,Switzerland,1924,https://www.fis-ski.com,https://www.fis-ski.com/inside-fis/governance/council,FIS Council
International Table Tennis Federation,ITTF,Sport federation,Sport,Global,Switzerland,1926,https://www.ittf.com,https://www.ittf.com/committees/committee-members/,Committee members
International Table Tennis Federation,ITTF,Sport federation,Sport,Global,Switzerland,1926,https://www.ittf.com,https://www.ittf.com/governance/,Governance
International Tennis Federation,ITF,Sport federation,Sport,Global,United Kingdom,1913,https://www.itftennis.com,https://www.itftennis.com/en/about-us/organisation/company-structure/,Company Structure & Board
International Tennis Federation,ITF,Sport federation,Sport,Global,United Kingdom,1913,https://www.itftennis.com,https://www.itftennis.com/en/about-us/governance/committees-and-commissions/,Committees and Commissions
International Weightlifting Federation,IWF,Sport federation,Sport,Global,Switzerland,1905,https://iwf.sport,https://iwf.sport/focus-on-iwf/executive-board/,Executive Board
International Weightlifting Federation,IWF,Sport federation,Sport,Global,Switzerland,1905,https://iwf.sport,https://iwf.sport/focus-on-iwf/secretariat/,Secretariat
Oceania Football Confederation,OFC,Sport federation,Sport,Regional,New Zealand,1966,https://www.oceaniafootball.com,https://www.oceaniafootball.com/governance/executive-committee/,Executive Committee
Olympic Council of Asia,OCA,Sport federation,Sport,Regional,Kuwait,1982,https://oca.asia,https://oca.asia/council/executive-board/,Executive Board
Pan American Sports Organization,Panam Sports,Sport federation,Sport,Regional,Mexico,1948,https://www.panamsports.org,https://www.panamsports.org/en/about-panamsports/executive-committee/,Executive Committee
SportAccord,SportAccord,Sport federation,Sport,Global,Switzerland,2003,https://www.sportaccord.sport,https://www.sportaccord.sport/executive-committee/,Executive Committee
SportAccord,SportAccord,Sport federation,Sport,Global,Switzerland,2003,https://www.sportaccord.sport,https://www.sportaccord.sport/team/,Our team
Union Cycliste Internationale,UCI,Sport federation,Sport,Global,Switzerland,1900,https://www.uci.org,https://www.uci.org/members-mangement-committee/7zYeHYG0yhUYhW8zOWWhZL,Management Committee Members
Union Cycliste Internationale,UCI,Sport federation,Sport,Global,Switzerland,1900,https://www.uci.org,https://www.uci.org/management-committee/2aaJY7PhhuJUt4ixUsgjiy,Management Committee
Union of European Football Associations,UEFA,Sport federation,Sport,Regional,Switzerland,1954,https://www.uefa.com,https://www.uefa.com/about/how-we-work/executive-committee/,Executive Committee
Union of European Football Associations,UEFA,Sport federation,Sport,Regional,Switzerland,1954,https://www.uefa.com,https://www.uefa.com/insideuefa/about-uefa/administration/,Administration
World Aquatics,World Aquatics,Sport federation,Sport,Global,Switzerland,1908,https://www.worldaquatics.com,https://www.worldaquatics.com/structure/bureau,Bureau
World Aquatics,World Aquatics,Sport federation,Sport,Global,Switzerland,1908,https://www.worldaquatics.com,https://www.worldaquatics.com/structure/executive,Executive
World Archery Federation,World Archery,Sport federation,Sport,Global,Switzerland,1931,https://www.worldarchery.sport,https://www.worldarchery.sport/about-us/organisation/executive-board,Executive Board
World Archery Federation,World Archery,Sport federation,Sport,Global,Switzerland,1931,https://www.worldarchery.sport,https://www.worldarchery.sport/about-us/organisation/committees,Committees
World Archery Federation,World Archery,Sport federation,Sport,Global,Switzerland,1931,https://www.worldarchery.sport,https://www.worldarchery.sport/about-us/organisation,Organisation
World Athletics,World Athletics,Sport federation,Sport,Global,Monaco,1912,https://www.worldathletics.org,https://worldathletics.org/about-iaaf/structure/council,Council
World Athletics,World Athletics,Sport federation,Sport,Global,Monaco,1912,https://www.worldathletics.org,https://worldathletics.org/about-iaaf/structure/executive-board,Executive Board
World Baseball Softball Confederation,WBSC,Sport federation,Sport,Global,Switzerland,2013,https://www.wbsc.org,https://www.wbsc.org/en/organisation/leadership/executive-board,Executive Board
World Baseball Softball Confederation,WBSC,Sport federation,Sport,Global,Switzerland,2013,https://www.wbsc.org,https://www.wbsc.org/en/organisation/leadership,Leadership
World Baseball Softball Confederation,WBSC,Sport federation,Sport,Global,Switzerland,2013,https://www.wbsc.org,https://www.wbsc.org/en/organisation/leadership/presidential-council,Presidential Council
World Boxing,World Boxing,Sport federation,Sport,Global,Switzerland,2023,https://worldboxing.org,https://worldboxing.org/about/leadership/,Leadership
World Boxing,World Boxing,Sport federation,Sport,Global,Switzerland,2023,https://worldboxing.org,https://worldboxing.org/governance/,Governance
World Curling,WCF,Sport federation,Sport,Global,United Kingdom,1966,https://worldcurling.org,https://worldcurling.org/about/board/,Board
World Curling,WCF,Sport federation,Sport,Global,United Kingdom,1966,https://worldcurling.org,https://worldcurling.org/about/directors/,Directors
World Curling,WCF,Sport federation,Sport,Global,United Kingdom,1966,https://worldcurling.org,https://worldcurling.org/governance/,Governance
World Rowing Federation,FISA,Sport federation,Sport,Global,Switzerland,1892,https://worldrowing.com,https://www.worldrowing.com/about/organisation/governance/council/,Council
World Rowing Federation,FISA,Sport federation,Sport,Global,Switzerland,1892,https://worldrowing.com,https://www.worldrowing.com/about/organisation/,Organisation
World Rugby,World Rugby,Sport federation,Sport,Global,Ireland,1886,https://www.world.rugby,https://www.world.rugby/organisation/governance/structure/executive-board?lang=en,Executive Committee
World Rugby,World Rugby,Sport federation,Sport,Global,Ireland,1886,https://www.world.rugby,https://www.world.rugby/organisation/governance/structure/council?lang=en,Council
World Rugby,World Rugby,Sport federation,Sport,Global,Ireland,1886,https://www.world.rugby,https://www.world.rugby/organisation/about-us/governance?lang=en,Governance
World Sailing,World Sailing,Sport federation,Sport,Global,United Kingdom,1907,https://www.sailing.org,https://www.sailing.org/inside-world-sailing/organisation/governance/organisational-structure/,Organisational Structure
World Sailing,World Sailing,Sport federation,Sport,Global,United Kingdom,1907,https://www.sailing.org,https://www.sailing.org/inside-world-sailing/organisation/governance/commissions-committees-womens-forum/world-sailing-council/,Council
World Taekwondo,WT,Sport federation,Sport,Global,South Korea,1973,https://www.worldtaekwondo.org,http://www.worldtaekwondo.org/about-wt/council_more17.html,Council
World Taekwondo,WT,Sport federation,Sport,Global,South Korea,1973,https://www.worldtaekwondo.org,https://m.worldtaekwondo.org/about-wt/committees.html?pm=01,Commissions and Committees
World Triathlon,WT,Sport federation,Sport,Global,Switzerland,1989,https://triathlon.org,https://triathlon.org/about/executive-board,Executive Board
World Triathlon,WT,Sport federation,Sport,Global,Switzerland,1989,https://triathlon.org,https://triathlon.org/governance,Governance
Action Group against Money Laundering in Central Africa,GABAC,Standards body,Finance & development,Regional,Gabon,2000,https://spgabac.org,,
Asia/Pacific Group on Money Laundering,APG,Standards body,Finance & development,Regional,Australia,1997,https://www.apgml.org,https://www.apgml.org/about-us/co-chairs,Co-Chairs
Asia/Pacific Group on Money Laundering,APG,Standards body,Finance & development,Regional,Australia,1997,https://www.apgml.org,https://www.apgml.org/about-us/secretariat,Secretariat
